word,frequency,example_sentence,reading,meaning,part_of_speech
モノ,839,長いものには巻かれろというぞそれも嫌なら目と耳と口を塞ぐがいい。,,"Monod, Jacques-Lucien (1910-76; フランスの分子生物学者).",
ソノ,808,自由に商売ができるその日が来ることを祈っておるぞ。,,,
ッテ,806,アレインって王子様なのに、村の復興にまで気を配っててすごいよね。,,,
オモウ,760,無謀にも思えたがやり遂げたかこの結果ならば充分といえよう。,,,
ミル,759,誰に見られているかわからんのだすまんが、取引は夜にしてくれ。,,"1 Mill, James (1773-1836; 英国の哲学者・歴史家・経済学者).",
イク,757,よく来た、ワシの見込んだ客人よさあじっくりと商品を見ていってくれ。,,,
オマエ,755,お前たちが解放地域とやらを増やせば取引を考えてやらんでもない。,,,
アレ,733,アレインが戦線離脱状態から復帰しました。。,,,
ドウ,712,私も解放軍に参加しますのでどうか調査にご協力ください。,,,
デキル,687,自由に商売ができるその日が来ることを祈っておるぞ。,,,
ラ,651,思い返せばこの港町に着いた時から我らの戦いが始まった。,ラ・プラタがわ,〔南アメリカ南東部を流れる川〕 the River Plate; the Plate; 〔スペイン語名〕 Río de la Plata.,ラ・プラタ川
イン,644,アレインが戦線離脱状態から復帰しました。。,ジャスト・イン・タイムほうしき,【経営】 ＝かんばんほうしき.,ジャスト・イン・タイム方式
カイホウ,637,これはこれは、ゼノイラ軍のお方でなに解放軍だとフン。,,,
ヤル,636,お前たちが解放地域とやらを増やせば取引を考えてやらんでもない。,,,
ワ,630,思ったよりもずっと早くエルヘイムを復興できたわね。,,,
セル,587,アレイン殿下、私も最後までこの戦いお供させていただきます。,,"Szell, George (1897-1970; ハンガリー生まれの米国の指揮者).",
ラレル,587,誰に見られているかわからんのだすまんが、取引は夜にしてくれ。,,,
ゾ,582,もしかしたらいや、まだワシは信じないぞ。,,,
サ,580,よく来た、ワシの見込んだ客人よさあじっくりと商品を見ていってくれ。,,,
ココ,573,解放軍がここまでその解放地域を増やすとはな。,,,
タイ,573,市井の人々の暮らしが即ち国の土台それを守りたいとお考えなのでしょう。,,"Thailand; 〔公式名〕 タイ王国 the Kingdom of Thailand; 〔旧名〕 Siam. ▷Thai adj.; 〔タイ人〕 a Thai, a Tai, a Thailander; 〔首都〕 バンコク Bangkok.",
ゼノ,562,これはこれは、ゼノイラ軍のお方でなに解放軍だとフン。,,,
イラ,562,これはこれは、ゼノイラ軍のお方でなに解放軍だとフン。,,,
マデ,537,解放軍がここまでその解放地域を増やすとはな。,,,
ゼ,533,俺なんか、復興へ回す物資は軍費に回せばいいって考えてたぜ。,,,
ワカル,529,誰に見られているかわからんのだすまんが、取引は夜にしてくれ。,,,
ヘ,503,部隊を強化するため砦へ向かい配置を増やすのがよろしいでしょう。,,"【音楽】 〔音名〕 F. [⇒ヘちょうちょう, ヘたんちょう]",音楽
デンカ,500,アレイン殿下私は感激しております。,,,
ダケ,480,ワシは一流の武具を揃える商人よ商売相手はゼノイラ軍だけ。,,,
クダサル,473,ジョセフ様それ、アレインに直接言ってやってくださいよ。,,,
マチ,472,ドラケンガルド王国のすべての町の復興が完了しました。,,,
イマ,469,今なら歴代王の墓所かの聖剣を手にできるやもしれません。,,,
アリガトウ,453,最後の魔法陣が終わりましたありがとうございます。,,,
ゴ,449,これも皆を救い続けられたからこそ本当にご立派になられました。,,,
トキ,445,思い返せばこの港町に着いた時から我らの戦いが始まった。,,,
ミナ,445,これも皆を救い続けられたからこそ本当にご立派になられました。,,,
タメ,439,部隊を強化するため砦へ向かい配置を増やすのがよろしいでしょう。,,,
サン,438,お前さんたちのおかげで店の在庫も増えたそうな。,サン・サルバドルとう,〔バハマ諸島中部の英領の小島〕 San Salvador.,サン・サルバドル島
キ,433,これを機に指揮する部隊数も増やしてみてはいかがでしょうか。,,,
アノ,431,あの砂漠の暑さが恋しいよ。,,,
チカラ,422,即座に敵を倒す力がなければ。,,,
アレイン,415,行きましょう、お姉様アレイン様とこれからも戦うために。,,,
アア,414,ああ、ここもゼノイラの支配下にある気をつけて先に進もう。,,,
ケレド,411,俺はドラケンガルドから来たんだけどさ。,,,
モウ,409,1スカーレットの救出に向かおう2もう少し準備がしたい。,,"Mo, Timothy (1950-　; 中国系英国人作家).",
テキ,386,即座に敵を倒す力がなければ。,,,
ヒト,383,コルニアの王子アレイン剣のみに依らず、大地にも尽くせる人。,,,
キク,381,彼は王侯の生まれながらも育ったのはパレィア島と聞いた。,,,
ホントウ,366,これも皆を救い続けられたからこそ本当にご立派になられました。,,,
ヤツ,361,ゼノイラの奴らももっと金をばらまいてくれればな。,,,
ソンナ,357,そんなぁお願いしますよぉ。,,,
ヤ,355,今なら歴代王の墓所かの聖剣を手にできるやもしれません。,,,
トモ,341,アレイン殿下、私も最後までこの戦いお供させていただきます。,,,
シ,340,金を払えば掘ってもらえるぜ採掘師に依頼するかい。,,【音楽】 si; ti.,音楽
キミ,336,大丈夫、君の分のおやつもあるからお腹空いたら食べよう。,,,
モラウ,332,金を払えば掘ってもらえるぜ採掘師に依頼するかい。,,,
コルニア,332,歴代コルニア王の魂も殿下に応えてくれるはず。,,,
ハナシ,325,まあ、俺たちには関係ない話だよなえっあんたらが解放軍。,,,
タタカウ,323,行きましょう、お姉様アレイン様とこれからも戦うために。,,,
ユビワ,317,乙女の指輪は手に入ったけど。,,,
キシ,308,天のかけらを一定数集めたら騎士団を離れ解放軍に参加したい。,,,
マモル,306,市井の人々の暮らしが即ち国の土台それを守りたいとお考えなのでしょう。,,,
オウ,304,歴代コルニア王の魂も殿下に応えてくれるはず。,,,
オク,299,1採掘を依頼する10002やめておく。,,,
トコロ,299,こんなとこで汗水垂らしてるより綺麗なエルフ姉ちゃんとお話してえ。,,,
ワタシ,290,正教よりあたしに捧げなさいよあたしの家の宿屋、二人で継ごうよ。,,,
ダン,289,天のかけらを一定数集めたら騎士団を離れ解放軍に参加したい。,,"1 Donne, John (1573-1631; 英国の詩人).",
オル,288,自由に商売ができるその日が来ることを祈っておるぞ。,,,
オウジ,287,コルニアの王子アレイン剣のみに依らず、大地にも尽くせる人。,,,
ナンテ,278,正教なんて知ったことか俺が信じるのは神じゃなくて金だ。,,,
イヤ,273,もしかしたらいや、まだワシは信じないぞ。,,,
コンナ,272,こんなとこで汗水垂らしてるより綺麗なエルフ姉ちゃんとお話してえ。,,,
モドル,271,船で戻りますか。,,,
ジョウ,271,フェブライトを持っていないのか闘技場の景品や採掘でも手に入るぞ。,,,
ホウ,270,もしや、コルニア解放軍の方ですか私は反ゼノイラを掲げる者です。,,,
ドノ,261,サナティオ、スカーレット様とアレイン殿のこと、頼んだぞ。,,,
メ,260,長いものには巻かれろというぞそれも嫌なら目と耳と口を塞ぐがいい。,,,
ヨリ,256,思ったよりもずっと早くエルヘイムを復興できたわね。,,,
マダ,252,もしかしたらいや、まだワシは信じないぞ。,,,
ワケ,250,ワシも商人として約束を違えるわけにもいかんな。,,,
ナカマ,246,各地の砦で新しい仲間を雇う「雇用」が使用できるようになりました。,,,
マエ,245,王都グランコリヌ攻略前の状態に戻りますがよろしいですか編成、装備などは最新の状態が維持されます。,,,
シレル,241,今なら歴代王の墓所かの聖剣を手にできるやもしれません。,,,
ゴザル,237,最後の魔法陣が終わりましたありがとうございます。,,,
スム,235,誰に見られているかわからんのだすまんが、取引は夜にしてくれ。,,,
イチ,230,一部隊あたりの配属数を4人まで増やすことが可能になりました。,,,
シマウ,229,だいぶ通りすぎてしまっております。,,,
セイ,229,今なら歴代王の墓所かの聖剣を手にできるやもしれません。,,,
モツ,225,教会に持ってくと喜んでくれるぜ。,,,
カレ,225,それでも、陽はまた昇り始めましたお姉様が彼を連れてきてくれたから。,,,
マタ,224,それでも、陽はまた昇り始めましたお姉様が彼を連れてきてくれたから。,,,
アト,223,バストリアスは落ちついたあとはゼノイラを討ち倒そう。,,,
ツク,221,アルビオン各地の復興が一段落ついた。,,,
イツ,219,天のかけらを見つけたらいつでも持ってきてくれ。,,,
ワルイ,216,採掘を再開したいんだが治安が悪くてね。,,,
ド,215,ゼノイラ軍には二度と屈しないこの大盾に勝利を誓おう。,キャニオン・ド・シェイこくていきねんぶつ,〔米国アリゾナ州の岩窟住居群〕 Canyon de Chelly National Monument.,キャニオン・ド・シェイ国定記念物
アレイ,211,コルニアの王子アレイン剣のみに依らず、大地にも尽くせる人。,【電算】 〔配列〕 an array;,【電算】 〔配列〕 an array; 【電】 〔アンテナの〕 an array.,電算】 〔配列〕 an array; 【電
シル,204,正教なんて知ったことか俺が信じるのは神じゃなくて金だ。,,,
タタカイ,203,この戦いは両国の関係を見つめ直す機会にもなるだろう。,,,
ブタイ,202,部隊を鍛え、地域を制圧し戦力を増強してから再度挑むのです。,,,
チ,200,瓦礫、廃屋、疫病の揃った荒廃の地。,ホー・チ・ミンし,〔ベトナム南部の都市〕 Ho Chi Minh City. ▶旧称 サイゴン (Saigon).,ホー・チ・ミン市
ヨク,196,よく来た、ワシの見込んだ客人よさあじっくりと商品を見ていってくれ。,,,
イタダク,196,アレイン殿下、私も最後までこの戦いお供させていただきます。,,,
ヘイ,195,人間に降伏し、あまつさえ死した者は屍の兵として扱われた。,,"Hay, John (Milton) (1838-1905; 米国の外交官).",
ミタイ,191,弟の奴、手も動かさずぶつくさ言ってるみたいだがよぉ。,,,
ハズ,190,歴代コルニア王の魂も殿下に応えてくれるはず。,,〔夫〕 a husband; 《口》 a hubby.,
ヒツヨウ,190,残りの必要な天のかけら30個。,,,
ツカウ,188,助けてもらった時の礼を渡そう試しに使ってみるといい。,,,
デル,184,たまーにだがよぉ鉱石より貴重なものが出てくるんだ。,ティエラ・デル・フエゴとう,"〔南米南端の諸島, またはその主島〕 Tierra del Fuego.",ティエラ・デル・フエゴ島
30,182,残りの必要な天のかけら30個。,,,
コ,179,残りの必要な天のかけら30個。,,,
サキ,178,先に進むのは難しいでしょう。,,Saki (1870-1916; ビルマ生まれの英国の短篇諷刺作家; 本名 H(ector) H(ugh) Munro).,
ダレ,178,誰に見られているかわからんのだすまんが、取引は夜にしてくれ。,,,
ハハ,178,父さんも母さんも町のみんなもよろこんでた。,,,
ウレシイ,177,それに私も参戦できたこと嬉しく思う。,,,
ホド,177,でもエルヘイム開闢以来、この地がこれほど汚されたことはなかった。,,,
ジュウ,176,正教では一角獣って聖獣様なのだから聖獣様がきっと守ってくれるよ。,,,
ハナス,176,「老人」と話す。,,,
ツケル,174,ああ、ここもゼノイラの支配下にある気をつけて先に進もう。,,,
ワレ,173,思い返せばこの港町に着いた時から我らの戦いが始まった。,,,
スカーレット,172,サナティオ、スカーレット様とアレイン殿のこと、頼んだぞ。,,〔深紅色〕 scarlet.,
カケル,172,今度こそ騎士の誇りにかけて皆さんのために戦います。,,,
クニ,170,誓って、いざ決戦の折りには我が国の精鋭も駆けつけさせよう。,,,
ナド,170,私もまたそれを信じればよかった策など最初から不要だった。,,,
ヘイカ,169,事情はすべてお聞きしました陛下をよろしくお願いいたします。,,,
ジブン,169,俺はこう見えても鍛冶師でね自分で言うのもなんだが優秀なんだ。,,,
スコシ,169,1スカーレットの救出に向かおう2もう少し準備がしたい。,,,
カエル,168,現実を変えたという結果があるならワシも考えを改めねばなるまい。,,,
ハイ,166,あんたらのおかげで子供に腹一杯食わせられるぜ。,,"1 〔上流・上等〕 ⇒ハイセンス, ハイクラス, ハイエンド.",
コウゲキ,166,魔法攻撃なら18ホプリタイのような頑丈な相手にも効果的だ。,,,
カンシャ,165,ご助力感謝いたしますこれで復旧作業も一段落つきました。,,,
マツ,165,少し様子を見てくる待っていてくれ。,,,
ハンラン,165,絶対に負けると思っていた反乱軍その勝利を見て考えるものがあります。,,,
ガレリウス,164,コルニアの本当の復興とはガレリウスを倒したときこそなのだ。,,,
トル,164,私たちにとっては修行の場ですね。,,【物】 〔気圧の単位〕 a torr (記号: Torr).,物
オカゲ,161,それが、過去のものとなりつつある民はもちろん、解放軍のおかげだ。,,,
イキル,160,俺は俺たちは今、英雄伝説の時代そのただ中を生きてるのかもしれない。,,,
マア,160,まあこればっかりは仕方ねえよなぁ。,,,
イタス,159,アレイン様よろしくお願いいたします。,,,
コチラ,159,ご案内しますどうぞこちらへ。,,,
タノム,159,サナティオ、スカーレット様とアレイン殿のこと、頼んだぞ。,,,
コウ,157,こうやってピッケルを振ることが目的になっちまった。,,,
タスケル,155,助けてもらった時の礼を渡そう試しに使ってみるといい。,,,
ヒトリ,155,ウメルス姉ちゃんは僕のたったひとりの家族なんだ。,,,
ココロ,154,これから信じ続ければいいその心はきっと皆にも伝わるはずだ。,,,
ケン,153,今なら歴代王の墓所かの聖剣を手にできるやもしれません。,,,
トリモドス,152,そうだな、だがすべては世界を取り戻してからだ。,,,
ツヨイ,151,そうですねこの国の民には強い信仰心がある。,,,
チマウ,151,こうやってピッケルを振ることが目的になっちまった。,,,
ソコ,151,この先はアルビオンの首都よそこにはビスファイン大聖堂があるわ。,,,
アッ,151,ぐはぁあっ。,,,
コソ,150,これも皆を救い続けられたからこそ本当にご立派になられました。,,,
ホシイ,147,これは私なりの礼だ受け取ってほしい。,,,
ヨウヘイ,145,砦に傭兵が集まってきているようです。,,,
フタリ,144,二人とも、大丈夫か。,,,
ミセル,144,今度こそ守ってみせる町も、人々も。,,【化】 micell(e).,化
アネ,143,それでも、陽はまた昇り始めましたお姉様が彼を連れてきてくれたから。,,,
ジョゼフ,143,ジョセフの言っていた像はこれか。,,,
スクウ,143,これも皆を救い続けられたからこそ本当にご立派になられました。,,,
イッショ,142,うん行こう、アレインと一緒に。,,,
フフ,142,ふふゆっくり休むといい。,,,
ヒ,142,自由に商売ができるその日が来ることを祈っておるぞ。,,,
サバク,142,あの砂漠の暑さが恋しいよ。,,,
ママ,141,アレインこのまま町に近づくのは危険よ。,,mam(m)a; mammy; mummy; *mom; *mommy; ᐦmum.,
ツ,141,殿下、ひとつお伝えしたいことがございます。,,,
カタ,141,これはこれは、ゼノイラ軍のお方でなに解放軍だとフン。,,,
シキ,140,これを機に指揮する部隊数も増やしてみてはいかがでしょうか。,,,
マカセル,139,町の解放、あらためて感謝するあとのことは任せてくれ。,,,
ヨル,138,誰に見られているかわからんのだすまんが、取引は夜にしてくれ。,,,
コロ,138,子供のころ、あそこで遊ぶなとよく言われたものです。,,〔バルカン半島の民族舞踊〕 the kolo.,
ツモリ,138,長い時間がかかっても必ず祖国をあるべき姿に戻すつもりだ。,,,
トウゾク,138,ゼノイラ軍に盗賊団もう安心してここでは暮らせないわ。,,,
オワル,138,最後の魔法陣が終わりましたありがとうございます。,,,
カワル,138,気が変わったらまたお声がけください。,,,
ヤハリ,137,見た目は怖いけどモラードはやっぱ頼りになるんだよ。,,,
モト,137,でもあなたたちの支援のおかげで元の姿に戻ったわ。,,,
ニンゲン,136,人間に降伏し、あまつさえ死した者は屍の兵として扱われた。,,,
ムカウ,136,部隊を強化するため砦へ向かい配置を増やすのがよろしいでしょう。,,,
タダ,136,ただ、途中で諦めると戦闘の経験は得られませんのでご注意ください。,,,
シヌ,136,死ぬまでに一度は大聖堂を見たいだからコルニアから巡礼に来たんだ。,,,
エルフ,136,エルフは高慢な奴ばっかだから相手になんかされねーよ。,,〔小妖精〕 an elf 《pl. elves》.,
シンパイ,135,幻影の兵士との戦闘で負けたとしても怪我などの心配はありません。,,,
アー,135,ああだがきっと簡単な道ではない。,,,
スグ,135,すぐ別の場所を掘りに行っちゃうんだ。,,,
ハイル,135,フェブライトを持っていないのか闘技場の景品や採掘でも手に入るぞ。,,,
ダイジョウブ,135,二人とも、大丈夫か。,,,
フッコウ,134,ドラケンガルド王国のすべての町の復興が完了しました。,,,
アイテ,134,ワシは一流の武具を揃える商人よ商売相手はゼノイラ軍だけ。,,,
カノジョ,134,盗賊は数名いましたが彼女は頭領に捕まっていると思います。,,,
キット,132,これから信じ続ければいいその心はきっと皆にも伝わるはずだ。,,〔部品一式・道具一式・用具〕 a kit; a set 《of tools》.,
ドラケンガルド,130,コルニアとドラケンガルドは昔から争ってばかりだったが。,,,
オナジ,129,先の戦いと同じじゃ抗う者は皆殺される。,,,
エル,128,幻影の兵士との戦闘で何が得られるのか調べたいのです。,エル・モロこくていきねんぶつ,〔米国ニューメキシコ州の〕 El Morro National Monument.,エル・モロ国定記念物
スガタ,126,今やコルニアの大半の町や村が昔の姿を取り戻している。,,,
トリアス,126,バストリアスは落ちついたあとはゼノイラを討ち倒そう。,,,
マサカ,125,まさか生き残りがいたとはちょうどいい、話を聞いてほしい。,,,
エルヘイム,125,思ったよりもずっと早くエルヘイムを復興できたわね。,,,
スベテ,125,そうだな、だがすべては世界を取り戻してからだ。,,,
イ,125,金を払えば掘ってもらえるぜ採掘師に依頼するかい。,イ・ムジチがっそうだん,〔イタリアの室内合奏団〕 I Musici.,イ・ムジチ合奏団
ネガウ,125,そんなぁお願いしますよぉ。,,,
ユルス,125,同行をお許しいただきありがとうございます。,,,
カオ,125,顔で言えば私とてこの兜を脱げばい、いえ、家訓で兜は脱げないので。,,,
イノチ,124,ナイジェル様の命で南門を開けておきました。,,,
ジュウジン,124,結局血を流さずにはおれぬのだな人もエルフも獣人も、われら天使も。,,,
ア,124,あんた解放軍のアレイン殿下だろ。,,,
トオリ,123,ご命令どおり、統治は解放軍が行い正教の者には協力を仰いでおります。,,,
セカイ,123,そうだな、だがすべては世界を取り戻してからだ。,,,
トリデ,123,砦に傭兵が集まってきているようです。,,,
アゲル,122,何か食べたそうだがあげるものを持っていないな。,,,
モシ,121,もしかしたらいや、まだワシは信じないぞ。,,,
ドコ,121,アルビオンゴートはクッキーを食べ終えてどこかへ去っていった。,,,
カナラズ,121,いざ決戦の折には私も精鋭を率いて必ず駆けつけるぞ。,,,
キョウ,120,アルビオン教国のすべての町の復興が完了しました。,,,
イエ,120,正教よりあたしに捧げなさいよあたしの家の宿屋、二人で継ごうよ。,,,
ナゼ,119,僕にもわかりませんいったいなぜ先生の孤児院に。,,,
ショ,118,聖所に向かいましょうアレイン。,,,
ワレワレ,117,我々が守っている正教もまた復興の力になっていると。,,,
チョット,116,ちょっと待っててすぐ出撃できるようにするから。,,,
カンガエル,116,お前たちが解放地域とやらを増やせば取引を考えてやらんでもない。,,,
シカシ,116,しかし親の形見のこの服だけは守り切ったのですよ。,,,
ムカシ,115,コルニアとドラケンガルドは昔から争ってばかりだったが。,,,
ヨブ,114,古代ゼノイラ遺跡の傍にありゼノイラの聖所とも呼ばれています。,,,
キョウコウ,114,私ね、去年大聖堂へ行ったんだよ教皇様のお話を聞きに。,,,
シャ,113,教皇が亡くなられ、新体制移行までナイジェル様が指導者と定まりました。,,,
タリ,112,通行料を取ったりはせんから安心して通ってくれ、ははは。,,,
スキ,112,とても好きな場所だったけどたぶんもう。,,,
キョウリョク,112,すでに名声は広まっており民は殿下への協力を惜しみません。,,,
ロザリンデ,111,ロザリンデ様ご無事だったのですね。,,,
ワガ,110,誓って、いざ決戦の折りには我が国の精鋭も駆けつけさせよう。,,,
ネン,110,承知いたしました念のため現状の報告をいたします。,,,
ヒメ,110,この要塞の敵将を討ったのはァージニア姫だという噂が。,,,
アイツ,110,それなら俺は黙って従うよでもあいつらケチだからなあ。,,,
サイゴ,110,最後の魔法陣が終わりましたありがとうございます。,,,
エエ,110,めえぇぇ。,,,
タシカ,109,たしか、教会の指示で天のかけらを集めているんだったな。,,,
チチ,109,お父様のことが気がかりだったのビスファイン大聖堂を目指しましょう。,,,
ミ,109,剣をこう構えてわが身は正教に捧げたってね。,,【音楽】 mi.,音楽
ブジ,109,スカーレットは無事だろうか。,,,
ダス,108,港が復旧したら船が出せるんだがなぁ。,,,
イシ,107,いやあ光る石探しの方がいいって。,,,
タミ,107,それが、過去のものとなりつつある民はもちろん、解放軍のおかげだ。,,,
シンズル,106,もしかしたらいや、まだワシは信じないぞ。,,,
マホウ,106,いやぁ助かりますでは魔法陣を調べてみましょうか。,,,
ベシ,106,長い時間がかかっても必ず祖国をあるべき姿に戻すつもりだ。,,,
タツ,106,俺たちゃ所詮よそもんだからな獣人と仲良くこれからもやっていくさ。,,,
ナサル,105,正教よりあたしに捧げなさいよあたしの家の宿屋、二人で継ごうよ。,,,
イッカク,105,一獲千金。,,,
ノミ,105,コルニアの王子アレイン剣のみに依らず、大地にも尽くせる人。,,,
ジカン,105,長い時間がかかっても必ず祖国をあるべき姿に戻すつもりだ。,,,
ジュツ,105,支配の術が解けた以上ルノーが敵対するとは思えません。,,,
ナカ,104,暴れている獣人の中には知ってる顔もいた。,,,
イレル,104,アレインの指示で復興に力を入れたおかげですね。,,,
チャウ,103,すぐ別の場所を掘りに行っちゃうんだ。,,,
デバッグ,103,1デバッグクリアしない2デバッグクリアする。,,【電算】 〔バグ取り〕 debugging.,電算
ヨロシク,103,解放軍で戦えるのが楽しみだよろしく頼む。,,,
ケイヤク,103,俺は契約の儀式を終えたんだ裏切るようなことはやめておこう。,,,
ハヤイ,102,思ったよりもずっと早くエルヘイムを復興できたわね。,,,
ミエル,102,魔法陣の遺跡でしょうかかなり昔に作られたものに見えます。,,,
クライ,102,天使の位の方々もナイジェル様には一目置いています。,,,
ワスレル,102,アレイン殿、改めて礼を言う此度の恩は決して忘れはしない。,,,
アウ,101,アウゥ。,,,
ホカ,100,見てのとおりお宝探しさ他の国も回ってここで三か国目だ。,,,
ツギ,100,ゼノイラ万歳の次は解放軍万歳大人たちって大変だね。,,,
チガウ,100,氏族は違えど祖国の復興は皆の悲願だ。,,,
キモチ,99,天使にはさ、地べたをはいずる俺たちの気持ちがわかるかな。,,,
バショ,99,お前色んな場所を旅してきたクチだろ俺もそうだぜ。,,,
ボク,99,ボク洞窟がこわいんです。,,,
スゴイ,98,アレインって王子様なのに、村の復興にまで気を配っててすごいよね。,,,
ダイ,97,お父様のことが気がかりだったのビスファイン大聖堂を目指しましょう。,,〔打ち型〕 a die 《pl. dies》. [⇒ダイス 2],
ソシテ,97,人間と天使、そして解放軍の力を集結させれば。,,,
シエン,97,でもあなたたちの支援のおかげで元の姿に戻ったわ。,,,
オオ,96,ゼノイラ軍には二度と屈しないこの大盾に勝利を誓おう。,,,
コドモ,96,子供のころ、あそこで遊ぶなとよく言われたものです。,,,
スギル,96,だいぶ通りすぎてしまっております。,,,
バカリ,96,コルニアとドラケンガルドは昔から争ってばかりだったが。,,,
イジョウ,96,他国と同様ゼノイラの支配下ですがそれ以上の情報はございません。,,,
カミ,95,正教なんて知ったことか俺が信じるのは神じゃなくて金だ。,,,
テン,94,残りの必要な天のかけら30個。,,〔10〕 ten.,
イッタイ,94,これで、この一帯を安全に探索できるでしょう。,,,
シカ,93,目立たぬよう夜にしか取引はできんが約束の証として取引証を渡そう。,,,
キサマ,93,合言葉が違うぞさては貴様ら反乱軍だな。,,,
マケル,92,幻影の兵士との戦闘で負けたとしても怪我などの心配はありません。,,,
ヤサシイ,92,獣人たち、体は大きいけど優しいやつらばかりだよ。,,,
オモイ,92,装備がやたらと重い交代まで耐えるとか地獄だぜ。,,,
1,91,1採掘を依頼する10002やめておく。,,,
ツクル,90,魔法陣の遺跡でしょうかかなり昔に作られたものに見えます。,,,
モチロン,90,それが、過去のものとなりつつある民はもちろん、解放軍のおかげだ。,,,
エルトリンデ,90,同行できないのは残念だがどうかエルトリンデ様のことを頼む。,,,
オオイ,89,我々のようにゼノイラ軍の支配に納得していない騎士も多い。,,,
アルビオン,89,アルビオン各地の復興が一段落ついた。,,〔英国またはイングランドを表す古語・詩語〕 Albion.,
ジュンビ,89,1スカーレットの救出に向かおう2もう少し準備がしたい。,,,
