sentence,cleaned_sentence
ただ、途中で諦めると戦闘の経験は 得られませんのでご注意ください。,ただ、途中で諦めると戦闘の経験は得られませんのでご注意ください。
魔法陣の遺跡でしょうか… かなり昔に作られたものに見えます。,魔法陣の遺跡でしょうかかなり昔に作られたものに見えます。
お役に立てず申し訳ありません 私ではよくわからないですね。,お役に立てず申し訳ありません私ではよくわからないですね。
最後の魔法陣が終わりました ありがとうございます。,最後の魔法陣が終わりましたありがとうございます。
魔法陣の調査が終わり 古代ゼノイラの研究が進みました。,魔法陣の調査が終わり古代ゼノイラの研究が進みました。
アレイン殿下、私も最後まで この戦い…お供させていただきます。,アレイン殿下、私も最後までこの戦いお供させていただきます。
これは興味深い… 初回だけですが報酬が得られました。,これは興味深い初回だけですが報酬が得られました。
無料採掘券を持ってるじゃないか それなら無料で採掘を依頼できるぞ。,無料採掘券を持ってるじゃないかそれなら無料で採掘を依頼できるぞ。
敵を一掃し 周辺の安全を確保しました。,敵を一掃し周辺の安全を確保しました。
これで、この一帯を安全に 探索できるでしょう。,これで、この一帯を安全に探索できるでしょう。
鶏をあと３羽捕まえる。,鶏をあと3羽捕まえる。
残りの必要な天のかけら３０個。,残りの必要な天のかけら30個。
船で戻りますか？。,船で戻りますか。
ゼノイラ軍を倒すためなら協力するぜ また来いよ。,ゼノイラ軍を倒すためなら協力するぜまた来いよ。
鶏が小屋から４羽も逃げちゃって… 困ったなぁ…。,鶏が小屋から4羽も逃げちゃって困ったなぁ。
鶏をあと４羽捕まえる。,鶏をあと4羽捕まえる。
逃げた鶏を捕まえていただき ありがとうございました。,逃げた鶏を捕まえていただきありがとうございました。
鶏が逃げちゃって大変なんですよ 困ったなぁ…。,鶏が逃げちゃって大変なんですよ困ったなぁ。
鶏を捕まえてくれているんですね 助かります…残り３羽お願いします。,鶏を捕まえてくれているんですね助かります残り3羽お願いします。
鶏を捕まえてくれているんですね 助かります…残り２羽お願いします。,鶏を捕まえてくれているんですね助かります残り2羽お願いします。
鶏を捕まえてくれているんですね 助かります…残り１羽お願いします。,鶏を捕まえてくれているんですね助かります残り1羽お願いします。
すべての鶏を捕まえてくれたんですね ありがとうございます！。,すべての鶏を捕まえてくれたんですねありがとうございます。
これはお礼です ぜひ受け取ってください。,これはお礼ですぜひ受け取ってください。
逃げた鶏は全部捕まえたな。,逃げた鶏は全部捕まえたな。
バストリアス内部へ進む。,バストリアス内部へ進む。
鶏をあと２羽捕まえる。,鶏をあと2羽捕まえる。
鶏をあと１羽捕まえる。,鶏をあと1羽捕まえる。
アレインは 天のかけらを持っているか？。,アレインは天のかけらを持っているか。
たしか、教会の指示で天のかけらを 集めているんだったな。,たしか、教会の指示で天のかけらを集めているんだったな。
各地を巡っているのだが 天のかけらの集まりが悪くてな…。,各地を巡っているのだが天のかけらの集まりが悪くてな。
もし天のかけらを見つけたら 譲ってもらえないだろうか。,もし天のかけらを見つけたら譲ってもらえないだろうか。
だから、天のかけらを見つけたら 譲ってもらえないだろうか。,だから、天のかけらを見つけたら譲ってもらえないだろうか。
１．了承した ２．無理だ。,1了承した2無理だ。
助けてもらった時の礼を渡そう 試しに使ってみるといい。,助けてもらった時の礼を渡そう試しに使ってみるといい。
バストリアス地方。,バストリアス地方。
アルビオン地方。,アルビオン地方。
天のかけらを一定数集めたら 騎士団を離れ解放軍に参加したい。,天のかけらを一定数集めたら騎士団を離れ解放軍に参加したい。
天のかけらを持っていたら 譲ってもらえないだろうか。,天のかけらを持っていたら譲ってもらえないだろうか。
フェブライトを持っていないのか… 闘技場の景品や採掘でも手に入るぞ。,フェブライトを持っていないのか闘技場の景品や採掘でも手に入るぞ。
天のかけらの数に応じて 貴重品を提供しよう。,天のかけらの数に応じて貴重品を提供しよう。
実は…天のかけらを一定数集めたら 騎士団を離れたいと考えている。,実は天のかけらを一定数集めたら騎士団を離れたいと考えている。
そうか… 気が変わったら頼む。,そうか気が変わったら頼む。
必要な数が集まったようだ ありがとう。,必要な数が集まったようだありがとう。
これは私なりの礼だ 受け取ってほしい。,これは私なりの礼だ受け取ってほしい。
解放軍で戦えるのが楽しみだ よろしく頼む。,解放軍で戦えるのが楽しみだよろしく頼む。
天のかけらを見つけたら いつでも持ってきてくれ。,天のかけらを見つけたらいつでも持ってきてくれ。
オクリース様の業務を 引き継ぎました。,オクリース様の業務を引き継ぎました。
アレイン様 よろしくお願いいたします。,アレイン様よろしくお願いいたします。
品揃えを更新しておきました またよろしくお願いいたします。,品揃えを更新しておきましたまたよろしくお願いいたします。
交換した総量に応じて 品揃えも更新していく予定だ。,交換した総量に応じて品揃えも更新していく予定だ。
天のかけらを見つけたら いつでも持ってきてくださいね。,天のかけらを見つけたらいつでも持ってきてくださいね。
１．デバッグクリアしない ２．デバッグクリアする。,1デバッグクリアしない2デバッグクリアする。
１．デバッグクリアしない ２．デバッグクリアする。,1デバッグクリアしない2デバッグクリアする。
…スカーレット。,スカーレット。
スカーレットは無事だろうか…。,スカーレットは無事だろうか。
殿下、ひとつ お伝えしたいことがございます。,殿下、ひとつお伝えしたいことがございます。
殿下のご活躍もあり 軍に勢いがついてまいりました。,殿下のご活躍もあり軍に勢いがついてまいりました。
今ならルノーを倒しスカーレットの 救出も叶うやもしれません。,今ならルノーを倒しスカーレットの救出も叶うやもしれません。
殿下、スカーレットの救出に 向かわれますか？。,殿下、スカーレットの救出に向かわれますか。
１．スカーレットの救出に向かおう ２．もう少し準備がしたい。,1スカーレットの救出に向かおう2もう少し準備がしたい。
それではコルニアの東部にある #FN(C5北の町)へ向かいましょう。,それではコルニアの東部にあるへ向かいましょう。
あちらへはミリアムという騎士を 先行させております。,あちらへはミリアムという騎士を先行させております。
殿下の準備ができ次第 ミリアムと合流しましょう。,殿下の準備ができ次第ミリアムと合流しましょう。
承知いたしました 念のため現状の報告をいたします。,承知いたしました念のため現状の報告をいたします。
ルノーはスカーレットを連れて #FN(C5北の町)へ向かいました。,ルノーはスカーレットを連れてへ向かいました。
あちらへはミリアムという騎士を 先行させております。,あちらへはミリアムという騎士を先行させております。
殿下の準備ができ次第 ミリアムと合流しましょう。,殿下の準備ができ次第ミリアムと合流しましょう。
チッ… 覚えてやがれ！。,チッ覚えてやがれ。
逃げた鶏か… もし見かけたら捕まえてみよう。,逃げた鶏かもし見かけたら捕まえてみよう。
メェェ～。,メェェ。
逃げた鶏は…あと３羽か。,逃げた鶏はあと3羽か。
逃げた鶏は…あと２羽か。,逃げた鶏はあと2羽か。
逃げた鶏は…あと１羽か。,逃げた鶏はあと1羽か。
解放軍に参加しゼノイラの支配に 苦しむ者を救いたいからだ。,解放軍に参加しゼノイラの支配に苦しむ者を救いたいからだ。
珍しいものが見つかるってんで 採掘師が集まってるんだ。,珍しいものが見つかるってんで採掘師が集まってるんだ。
金を払えば掘ってもらえるぜ？ どうだい掘っていくかい？。,金を払えば掘ってもらえるぜどうだい掘っていくかい。
今後も依頼してくれるってんなら 今回はタダでいいぜ。,今後も依頼してくれるってんなら今回はタダでいいぜ。
１．採掘を依頼する ２．やめておく。,1採掘を依頼する2やめておく。
コケーーッ！。,コケーーッ。
メェェェー。,メェェェー。
メェーメェー。,メェーメェー。
めぇ～。,めぇ。
ンンンメエエエエッッッ！。,ンンンメエエエエッッッ。
メェェ～。,メェェ。
何か食べたそうだが あげるものを持っていないな…。,何か食べたそうだがあげるものを持っていないな。
１．ゴートクッキーをあげる ２．あげない。,1ゴートクッキーをあげる2あげない。
アルビオンゴートにクッキーをあげた。,アルビオンゴートにクッキーをあげた。
メェェ～。,メェェ。
メェーッ。,メェーッ。
め～～。,め。
ンンンメェェェ！！！。,ンンンメェェェ。
メェェ～。,メェェ。
よし、今のうちに…。,よし、今のうちに。
メェーー。,メェーー。
メェメェ～。,メェメェ。
めぇ。,めぇ。
メヘェッ。,メヘェッ。
メェェ～。,メェェ。
アルビオンゴートはクッキーを食べ終えて どこかへ去っていった。,アルビオンゴートはクッキーを食べ終えてどこかへ去っていった。
メエ…。,メエ。
メッ！。,メッ。
めえぇぇ…。,めえぇぇ。
ンメェ！？。,ンメェ。
やれやれ… やっとゼノイラ軍から解放された。,やれやれやっとゼノイラ軍から解放された。
俺はこう見えても鍛冶師でね 自分で言うのもなんだが優秀なんだ。,俺はこう見えても鍛冶師でね自分で言うのもなんだが優秀なんだ。
フェブライトという鉱石があれば 武具を強化してやれるぜ。,フェブライトという鉱石があれば武具を強化してやれるぜ。
そうですか…気が変わりましたら またお声がけください。,そうですか気が変わりましたらまたお声がけください。
フェブライトを持ってきたんだな 何を強化するんだ？。,フェブライトを持ってきたんだな何を強化するんだ。
実は…各地を巡っているのだが 天のかけらの集まりが悪くてな…。,実は各地を巡っているのだが天のかけらの集まりが悪くてな。
もし天のかけらを見つけたら 譲ってもらえないだろうか。,もし天のかけらを見つけたら譲ってもらえないだろうか。
私…ある不思議な魔法の手鏡を 取り扱っているのです。,私ある不思議な魔法の手鏡を取り扱っているのです。
それでは天のかけらを集めてくれ 私は引き継ぎの手配をしておこう。,それでは天のかけらを集めてくれ私は引き継ぎの手配をしておこう。
品揃えを更新しておこう またよろしく頼む。,品揃えを更新しておこうまたよろしく頼む。
１．無料採掘券で採掘を依頼する ２．やめておく。,1無料採掘券で採掘を依頼する2やめておく。
それでは起動しますね。,それでは起動しますね。
新たな魔法陣を発見しました ご協力ありがとうございます。,新たな魔法陣を発見しましたご協力ありがとうございます。
それでは起動しますね。,それでは起動しますね。
残りの必要な天のかけら２９個。,残りの必要な天のかけら29個。
魔法陣もだいぶ発見しましたね…。,魔法陣もだいぶ発見しましたね。
残りの必要な天のかけら２８個。,残りの必要な天のかけら28個。
残りの必要な天のかけら２７個。,残りの必要な天のかけら27個。
残りの必要な天のかけら２６個。,残りの必要な天のかけら26個。
残りの必要な天のかけら２５個。,残りの必要な天のかけら25個。
残りの必要な天のかけら２４個。,残りの必要な天のかけら24個。
残りの必要な天のかけら２３個。,残りの必要な天のかけら23個。
残りの必要な天のかけら２２個。,残りの必要な天のかけら22個。
残りの必要な天のかけら２１個。,残りの必要な天のかけら21個。
残りの必要な天のかけら２０個。,残りの必要な天のかけら20個。
残りの必要な天のかけら１９個。,残りの必要な天のかけら19個。
残りの必要な天のかけら１８個。,残りの必要な天のかけら18個。
残りの必要な天のかけら１７個。,残りの必要な天のかけら17個。
残りの必要な天のかけら１６個。,残りの必要な天のかけら16個。
残りの必要な天のかけら１５個。,残りの必要な天のかけら15個。
残りの必要な天のかけら１４個。,残りの必要な天のかけら14個。
残りの必要な天のかけら１３個。,残りの必要な天のかけら13個。
残りの必要な天のかけら１２個。,残りの必要な天のかけら12個。
残りの必要な天のかけら１１個。,残りの必要な天のかけら11個。
残りの必要な天のかけら１０個。,残りの必要な天のかけら10個。
残りの必要な天のかけら９個。,残りの必要な天のかけら9個。
残りの必要な天のかけら８個。,残りの必要な天のかけら8個。
残りの必要な天のかけら７個。,残りの必要な天のかけら7個。
残りの必要な天のかけら６個。,残りの必要な天のかけら6個。
残りの必要な天のかけら５個。,残りの必要な天のかけら5個。
残りの必要な天のかけら４個。,残りの必要な天のかけら4個。
残りの必要な天のかけら３個。,残りの必要な天のかけら3個。
残りの必要な天のかけら２個。,残りの必要な天のかけら2個。
残りの必要な天のかけら１個。,残りの必要な天のかけら1個。
